date,variable,value
8/13/22,Hannah,1.0
8/14/22,Hannah,1.0
8/15/22,Hannah,1.0
8/16/22,Hannah,2.0
8/17/22,Hannah,1.0
8/18/22,Hannah,5.0
8/19/22,Hannah,14.0
8/20/22,Hannah,2.0
8/21/22,Hannah,7.0
8/22/22,Hannah,5.0
8/23/22,Hannah,15.0
8/24/22,Hannah,2.0
8/25/22,Hannah,11.0
8/26/22,Hannah,7.0
8/27/22,Hannah,0.0
8/28/22,Hannah,3.0
8/29/22,Hannah,21.0
8/30/22,Hannah,12.0
8/31/22,Hannah,13.0
9/1/22,Hannah,2.0
9/2/22,Hannah,8.0
9/3/22 ,Hannah,14.0
9/4/22,Hannah,10.0
9/5/22,Hannah,23.0
9/6/22,Hannah,0.0
9/7/22,Hannah,3.0
9/8/22,Hannah,10.0
9/9/22,Hannah,2.0
9/10/22,Hannah,2.0
9/11/22,Hannah,9.0
9/12/22,Hannah,4.0
9/13/22,Hannah,6.0
9/14/22,Hannah,7.0
9/15/22,Hannah,8.0
9/16/22,Hannah,11.0
9/17/22,Hannah,14.0
9/18/22,Hannah,0.0
9/19/22,Hannah,7.0
9/20/22,Hannah,0.0
9/21/22,Hannah,10.0
9/22/22,Hannah,6.0
9/23/22,Hannah,8.0
9/24/22,Hannah,9.0
9/25/22,Hannah,3.0
9/26/22,Hannah,7.0
9/27/22,Hannah,11.0
9/28/22,Hannah,6.0
9/29/22,Hannah,6.0
9/30/22,Hannah,4.0
10/1/22,Hannah,1.0
10/2/22,Hannah,9.0
10/3/22,Hannah,16.0
10/4/22,Hannah,7.0
10/5/22,Hannah,13.0
10/6/22,Hannah,8.0
10/7/22,Hannah,3.0
10/8/22,Hannah,5.0
10/9/22,Hannah,1.0
10/10/22,Hannah,9.0
10/11/22,Hannah,4.0
10/12/22,Hannah,6.0
10/13/22,Hannah,7.0
10/14/22,Hannah,15.0
10/15/22,Hannah,13.0
10/16/22,Hannah,0.0
10/17/22,Hannah,5.0
10/18/22,Hannah,18.0
10/19/22,Hannah,3.0
10/20/22,Hannah,2.0
10/21/22,Hannah,24.0
10/22/22,Hannah,13.0
